[2026-02-10 10:36:35.755] (Total Time Elapsed: 00:00:00.078) - Program Start
[2026-02-10 10:36:36.417] (Total Time Elapsed: 00:00:00.740) - Measuring Chuck Resistance...
[2026-02-10 10:36:36.490] (Total Time Elapsed: 00:00:00.813) - Applying Current - I: 0.0100 A | R: 4.1261 Ω | ΔT: 0.08 °C
[2026-02-10 10:36:39.821] (Total Time Elapsed: 00:00:04.144) - Applying Current - I: 0.0815 A | R: 4.1224 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:39.894] (Total Time Elapsed: 00:00:04.217) - Applying Current - I: 0.0856 A | R: 4.1225 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:39.968] (Total Time Elapsed: 00:00:04.291) - Applying Current - I: 0.0899 A | R: 4.1225 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:40.041] (Total Time Elapsed: 00:00:04.364) - Applying Current - I: 0.0943 A | R: 4.1226 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:40.115] (Total Time Elapsed: 00:00:04.438) - Applying Current - I: 0.0991 A | R: 4.1225 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:40.189] (Total Time Elapsed: 00:00:04.512) - Applying Current - I: 0.1040 A | R: 4.1226 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:40.302] (Total Time Elapsed: 00:00:04.625) - Applying Current - I: 0.1092 A | R: 4.1198 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:40.377] (Total Time Elapsed: 00:00:04.700) - Applying Current - I: 0.1147 A | R: 4.1192 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:40.452] (Total Time Elapsed: 00:00:04.775) - Applying Current - I: 0.1204 A | R: 4.1199 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:40.528] (Total Time Elapsed: 00:00:04.851) - Applying Current - I: 0.1264 A | R: 4.1206 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:40.603] (Total Time Elapsed: 00:00:04.926) - Applying Current - I: 0.1327 A | R: 4.1203 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:40.677] (Total Time Elapsed: 00:00:05.000) - Applying Current - I: 0.1394 A | R: 4.1203 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:40.752] (Total Time Elapsed: 00:00:05.075) - Applying Current - I: 0.1464 A | R: 4.1200 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:40.827] (Total Time Elapsed: 00:00:05.150) - Applying Current - I: 0.1537 A | R: 4.1195 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:40.902] (Total Time Elapsed: 00:00:05.225) - Applying Current - I: 0.1614 A | R: 4.1204 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:40.992] (Total Time Elapsed: 00:00:05.314) - Applying Current - I: 0.1694 A | R: 4.1208 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:41.067] (Total Time Elapsed: 00:00:05.389) - Applying Current - I: 0.1779 A | R: 4.1203 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:41.141] (Total Time Elapsed: 00:00:05.464) - Applying Current - I: 0.1868 A | R: 4.1204 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:41.217] (Total Time Elapsed: 00:00:05.540) - Applying Current - I: 0.1961 A | R: 4.1208 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:41.291] (Total Time Elapsed: 00:00:05.614) - Applying Current - I: 0.2059 A | R: 4.1206 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:41.366] (Total Time Elapsed: 00:00:05.689) - Applying Current - I: 0.2162 A | R: 4.1206 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:41.441] (Total Time Elapsed: 00:00:05.764) - Applying Current - I: 0.2270 A | R: 4.1206 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:41.517] (Total Time Elapsed: 00:00:05.839) - Applying Current - I: 0.2384 A | R: 4.1209 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:41.591] (Total Time Elapsed: 00:00:05.914) - Applying Current - I: 0.2503 A | R: 3.9948 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:41.666] (Total Time Elapsed: 00:00:05.989) - Applying Current - I: 0.2628 A | R: 3.8046 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:41.741] (Total Time Elapsed: 00:00:06.064) - Applying Current - I: 0.2760 A | R: 3.6234 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:41.816] (Total Time Elapsed: 00:00:06.139) - Applying Current - I: 0.2898 A | R: 3.4509 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:41.892] (Total Time Elapsed: 00:00:06.214) - Applying Current - I: 0.3043 A | R: 3.2866 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:41.967] (Total Time Elapsed: 00:00:06.290) - Applying Current - I: 0.3195 A | R: 3.1301 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:42.042] (Total Time Elapsed: 00:00:06.365) - Applying Current - I: 0.3355 A | R: 2.9810 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:42.116] (Total Time Elapsed: 00:00:06.439) - Applying Current - I: 0.3522 A | R: 2.8390 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:42.191] (Total Time Elapsed: 00:00:06.514) - Applying Current - I: 0.3698 A | R: 2.7039 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:42.265] (Total Time Elapsed: 00:00:06.588) - Applying Current - I: 0.3883 A | R: 2.5751 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:42.341] (Total Time Elapsed: 00:00:06.664) - Applying Current - I: 0.4077 A | R: 2.4525 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:42.416] (Total Time Elapsed: 00:00:06.739) - Applying Current - I: 0.4281 A | R: 2.3357 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:42.491] (Total Time Elapsed: 00:00:06.814) - Applying Current - I: 0.4495 A | R: 2.2245 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:42.566] (Total Time Elapsed: 00:00:06.889) - Applying Current - I: 0.4720 A | R: 2.1185 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:42.641] (Total Time Elapsed: 00:00:06.964) - Applying Current - I: 0.4956 A | R: 2.0177 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:42.716] (Total Time Elapsed: 00:00:07.039) - Applying Current - I: 0.5204 A | R: 1.9216 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:42.791] (Total Time Elapsed: 00:00:07.114) - Applying Current - I: 0.5464 A | R: 1.8301 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:42.867] (Total Time Elapsed: 00:00:07.190) - Applying Current - I: 0.5737 A | R: 1.7429 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:42.942] (Total Time Elapsed: 00:00:07.265) - Applying Current - I: 0.6024 A | R: 1.6599 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:43.017] (Total Time Elapsed: 00:00:07.340) - Applying Current - I: 0.6325 A | R: 1.5809 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:43.092] (Total Time Elapsed: 00:00:07.415) - Applying Current - I: 0.6642 A | R: 1.5056 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:43.168] (Total Time Elapsed: 00:00:07.491) - Applying Current - I: 0.6974 A | R: 1.4339 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:43.243] (Total Time Elapsed: 00:00:07.566) - Applying Current - I: 0.7322 A | R: 1.3656 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:43.319] (Total Time Elapsed: 00:00:07.641) - Applying Current - I: 0.7689 A | R: 1.3006 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:43.394] (Total Time Elapsed: 00:00:07.717) - Applying Current - I: 0.8073 A | R: 1.2387 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:43.498] (Total Time Elapsed: 00:00:07.821) - Applying Current - I: 0.8477 A | R: 1.1797 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:43.575] (Total Time Elapsed: 00:00:07.898) - Applying Current - I: 0.8901 A | R: 1.1235 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:43.650] (Total Time Elapsed: 00:00:07.973) - Applying Current - I: 0.9346 A | R: 1.0700 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:43.726] (Total Time Elapsed: 00:00:08.048) - Applying Current - I: 0.9813 A | R: 1.0190 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:43.800] (Total Time Elapsed: 00:00:08.123) - Applying Current - I: 1.0303 A | R: 0.9705 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:43.872] (Total Time Elapsed: 00:00:08.195) - Applying Current - I: 1.0819 A | R: 0.9243 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:43.945] (Total Time Elapsed: 00:00:08.268) - Applying Current - I: 1.1360 A | R: 0.8803 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:44.018] (Total Time Elapsed: 00:00:08.341) - Applying Current - I: 1.1928 A | R: 0.8384 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:44.091] (Total Time Elapsed: 00:00:08.414) - Applying Current - I: 1.2524 A | R: 0.7984 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:44.163] (Total Time Elapsed: 00:00:08.486) - Applying Current - I: 1.3150 A | R: 0.7604 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:44.236] (Total Time Elapsed: 00:00:08.559) - Applying Current - I: 1.3808 A | R: 0.7242 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:44.309] (Total Time Elapsed: 00:00:08.632) - Applying Current - I: 1.4498 A | R: 0.6897 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:44.383] (Total Time Elapsed: 00:00:08.705) - Applying Current - I: 1.5223 A | R: 0.6569 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:44.457] (Total Time Elapsed: 00:00:08.780) - Applying Current - I: 1.5984 A | R: 0.6256 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:44.529] (Total Time Elapsed: 00:00:08.852) - Applying Current - I: 1.6783 A | R: 0.5958 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:44.602] (Total Time Elapsed: 00:00:08.925) - Applying Current - I: 1.7622 A | R: 0.5674 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:44.675] (Total Time Elapsed: 00:00:08.998) - Applying Current - I: 1.8504 A | R: 0.5404 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:44.747] (Total Time Elapsed: 00:00:09.070) - Applying Current - I: 1.9429 A | R: 0.5147 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:44.820] (Total Time Elapsed: 00:00:09.143) - Applying Current - I: 2.0400 A | R: 0.4902 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:44.893] (Total Time Elapsed: 00:00:09.216) - Applying Current - I: 2.1420 A | R: 0.4668 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:44.966] (Total Time Elapsed: 00:00:09.289) - Applying Current - I: 2.2491 A | R: 0.4446 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:45.038] (Total Time Elapsed: 00:00:09.361) - Applying Current - I: 2.3616 A | R: 0.4234 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:45.112] (Total Time Elapsed: 00:00:09.435) - Applying Current - I: 2.4797 A | R: 0.4033 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:45.185] (Total Time Elapsed: 00:00:09.507) - Applying Current - I: 2.6036 A | R: 0.3841 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:45.257] (Total Time Elapsed: 00:00:09.580) - Applying Current - I: 2.7338 A | R: 0.3658 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:45.330] (Total Time Elapsed: 00:00:09.653) - Applying Current - I: 2.8705 A | R: 0.3484 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:45.403] (Total Time Elapsed: 00:00:09.726) - Applying Current - I: 3.0140 A | R: 0.3318 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:45.477] (Total Time Elapsed: 00:00:09.800) - Applying Current - I: 3.1647 A | R: 0.3160 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:45.550] (Total Time Elapsed: 00:00:09.873) - Applying Current - I: 3.3230 A | R: 0.3009 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:45.623] (Total Time Elapsed: 00:00:09.946) - Applying Current - I: 3.4891 A | R: 0.2866 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:45.696] (Total Time Elapsed: 00:00:10.019) - Applying Current - I: 3.6636 A | R: 0.2729 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:45.768] (Total Time Elapsed: 00:00:10.091) - Applying Current - I: 3.8468 A | R: 0.2600 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:45.842] (Total Time Elapsed: 00:00:10.164) - Applying Current - I: 4.0391 A | R: 0.2476 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:45.914] (Total Time Elapsed: 00:00:10.237) - Applying Current - I: 4.2410 A | R: 0.2358 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:45.986] (Total Time Elapsed: 00:00:10.309) - Applying Current - I: 4.4531 A | R: 0.2246 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:46.059] (Total Time Elapsed: 00:00:10.382) - Applying Current - I: 4.6758 A | R: 0.2139 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:46.132] (Total Time Elapsed: 00:00:10.455) - Applying Current - I: 4.9095 A | R: 0.2037 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:46.205] (Total Time Elapsed: 00:00:10.528) - Applying Current - I: 5.1550 A | R: 0.1940 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:46.278] (Total Time Elapsed: 00:00:10.601) - Applying Current - I: 5.4128 A | R: 0.1847 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:46.351] (Total Time Elapsed: 00:00:10.673) - Applying Current - I: 5.6834 A | R: 0.1759 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:46.423] (Total Time Elapsed: 00:00:10.746) - Applying Current - I: 5.9676 A | R: 0.1676 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:46.497] (Total Time Elapsed: 00:00:10.820) - Applying Current - I: 6.2660 A | R: 0.1596 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:46.570] (Total Time Elapsed: 00:00:10.893) - Applying Current - I: 6.5793 A | R: 0.1520 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:46.643] (Total Time Elapsed: 00:00:10.965) - Applying Current - I: 6.9082 A | R: 0.1448 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:46.715] (Total Time Elapsed: 00:00:11.038) - Applying Current - I: 7.2536 A | R: 0.1379 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:46.788] (Total Time Elapsed: 00:00:11.111) - Applying Current - I: 7.6163 A | R: 0.1313 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:46.861] (Total Time Elapsed: 00:00:11.184) - Applying Current - I: 7.9971 A | R: 0.1250 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:46.934] (Total Time Elapsed: 00:00:11.257) - Applying Current - I: 8.3970 A | R: 0.1191 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:47.007] (Total Time Elapsed: 00:00:11.330) - Applying Current - I: 8.8168 A | R: 0.1134 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:47.079] (Total Time Elapsed: 00:00:11.402) - Applying Current - I: 9.2577 A | R: 0.1080 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:47.152] (Total Time Elapsed: 00:00:11.475) - Applying Current - I: 9.7206 A | R: 0.1029 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:47.225] (Total Time Elapsed: 00:00:11.548) - Applying Current - I: 10.2066 A | R: 0.0980 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:47.298] (Total Time Elapsed: 00:00:11.621) - Applying Current - I: 10.7169 A | R: 0.0933 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:47.370] (Total Time Elapsed: 00:00:11.693) - Applying Current - I: 11.2528 A | R: 0.0889 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:47.443] (Total Time Elapsed: 00:00:11.766) - Applying Current - I: 11.8154 A | R: 0.0846 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:47.516] (Total Time Elapsed: 00:00:11.839) - Applying Current - I: 12.4062 A | R: 0.0806 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:47.589] (Total Time Elapsed: 00:00:11.911) - Applying Current - I: 13.0265 A | R: 0.0768 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:47.661] (Total Time Elapsed: 00:00:11.984) - Applying Current - I: 13.6778 A | R: 0.0731 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:47.734] (Total Time Elapsed: 00:00:12.057) - Applying Current - I: 14.3617 A | R: 0.0696 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:47.807] (Total Time Elapsed: 00:00:12.130) - Applying Current - I: 15.0798 A | R: 0.0663 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:47.880] (Total Time Elapsed: 00:00:12.203) - Applying Current - I: 15.8338 A | R: 0.0632 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:47.953] (Total Time Elapsed: 00:00:12.275) - Applying Current - I: 16.6255 A | R: 0.0601 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:48.025] (Total Time Elapsed: 00:00:12.348) - Applying Current - I: 17.4567 A | R: 0.0573 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:48.098] (Total Time Elapsed: 00:00:12.420) - Applying Current - I: 18.3296 A | R: 0.0546 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:48.170] (Total Time Elapsed: 00:00:12.493) - Applying Current - I: 19.2460 A | R: 0.0520 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:48.243] (Total Time Elapsed: 00:00:12.566) - Applying Current - I: 20.2083 A | R: 0.0495 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:48.316] (Total Time Elapsed: 00:00:12.639) - Applying Current - I: 21.2188 A | R: 0.0471 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:48.389] (Total Time Elapsed: 00:00:12.712) - Applying Current - I: 22.2797 A | R: 0.0449 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:48.462] (Total Time Elapsed: 00:00:12.785) - Applying Current - I: 23.3937 A | R: 0.0427 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:48.535] (Total Time Elapsed: 00:00:12.858) - Applying Current - I: 24.5634 A | R: 0.0407 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:48.607] (Total Time Elapsed: 00:00:12.930) - Applying Current - I: 25.7915 A | R: 0.0388 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:48.681] (Total Time Elapsed: 00:00:13.004) - Applying Current - I: 27.0811 A | R: 0.0369 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:48.754] (Total Time Elapsed: 00:00:13.077) - Applying Current - I: 28.4352 A | R: 0.0352 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:48.827] (Total Time Elapsed: 00:00:13.150) - Applying Current - I: 29.8569 A | R: 0.0335 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:48.899] (Total Time Elapsed: 00:00:13.222) - Applying Current - I: 31.3498 A | R: 0.0319 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:48.972] (Total Time Elapsed: 00:00:13.295) - Applying Current - I: 32.9173 A | R: 0.0304 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:49.055] (Total Time Elapsed: 00:00:13.378) - Applying Current - I: 34.5631 A | R: 0.0289 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:49.128] (Total Time Elapsed: 00:00:13.451) - Applying Current - I: 36.2913 A | R: 0.0276 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:49.202] (Total Time Elapsed: 00:00:13.525) - Applying Current - I: 38.1058 A | R: 0.0262 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:49.275] (Total Time Elapsed: 00:00:13.598) - Applying Current - I: 40.0111 A | R: 0.0250 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:49.347] (Total Time Elapsed: 00:00:13.670) - Applying Current - I: 42.0117 A | R: 0.0238 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:49.420] (Total Time Elapsed: 00:00:13.743) - Applying Current - I: 44.1123 A | R: 0.0227 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:49.497] (Total Time Elapsed: 00:00:13.820) - Applying Current - I: 46.3179 A | R: 0.0216 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:49.571] (Total Time Elapsed: 00:00:13.893) - Applying Current - I: 48.6338 A | R: 0.0206 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:49.643] (Total Time Elapsed: 00:00:13.966) - Applying Current - I: 51.0655 A | R: 0.0196 Ω | ΔT: 0.00 °C
