wafer_number, die_number, resistor_number, t_device_lifetime, t_fail, t_min, r_chuck, r_min, c_test
W4,F12,500,1.9073486328125e-06,1.9073486328125e-06,0,19.991455078,19.991455078,1
W4,F12,100,1.2832376956939697,1.2832376956939697,0,16.145729065,16.145729065,1
W4,F11,0,100.82757570266725,144.5470745563507,43.71949885368347,13.77927494,12.275806427,1
W4,F11,500,152,180.5,28.5,14.5648,13.3,1
W4,F11,100,196.33086584568025,263.4402368068695,67.10937096118927,13.851522446,11.968802452,1
W4,D11,0,2.6226043701171875e-06,2.6226043701171875e-06,0,18.779376984,18.779376984,1
W4,D11,100,1.6689300537109375e-06,1.6689300537109375e-06,0,17.992046356,17.992046356,1
W4,D10,0,72.81023138523102,88.49222254753113,15.68199116230011,14.310320854,13.396216393,1
W4,D10,500,3.0020669984817507,4.916146278381348,1.9140792798995971,16.092325211,16.203598022,1
W4,D10,100,41.1994788312912,49.6402153968811,8.440736565589905,15.081867218,14.416649818,1
W4,D9,100,121.52372566699981,160.87229752540588,39.34857185840607,14.137799263,12.500043869,1
W4,D9,500,129.03681930541993,160.5450165271759,31.50819722175598,14.469791412,13.050075531,1
W4,D9,0,132.75042802810668,181.4943540096283,48.743925981521606,13.52754879,11.784901619,1
W4,D8,100,122.09750551223755,170.0614812374115,47.96397572517395,13.76527977,11.90795517,1
W4,D8,500,140.52079018115998,189.88790082931519,49.36711064815521,14.012993813,12.185529709,1
W4,D8,0,119.16634828567504,168.70207905769348,49.53573077201843,13.130539894,11.213984489,1
W4,E8,100,113.73868770599366,182.35980701446533,68.62111930847168,12.618185997,10.948946953,1
W4,E8,500,134.30772916316988,221.0998194217682,86.79209025859832,12.956699371,11.193140984,1
W4,E8,0,242.30022316932678,322.54224395751953,80.24202078819275,11.841426849,10.535685539,1
W4,E7,100,119.39741634368897,183.34797835350037,63.9505620098114,12.717508316,11.165460587,1
W4,E7,500,184.1365563583374,293.9089894294739,109.77243307113648,12.668921471,10.943148613,1
W4,E7,0,356.24179030418395,484.8185467720032,128.57675646781922,11.398005486,10.036824226,1
W4,B9,0,78.43261317253113,79.43272376060486,1.0001105880737304,15.396726608,15.396086693,1
W4,B9,0,169.35691571235657,172.44527292251587,3.0883572101593018,15.383899689,15.377958298,1
W4,B8,500,105.87488768577576,106.87747740745544,1.0025897216796875,15.421803474,15.423226357,1
W4,C7,0,143.42215496063233,204.89313435554504,61.47097939491272,14.096406937,11.882657051,1
W4,C7,500,69.9274405002594,84.66147232055664,14.734031820297242,15.46739006,14.331396103,1
W4,C7,100,21.249153661727906,29.02852773666382,7.779374074935913,15.496490479,14.659499168,1
W4,C6,0,118.54873435020447,152.49623370170593,33.94749935150146,14.144694328,12.415841103,1
W4,C6,500,0.0,0.0,0,19.999610901,19.999610901,1
W4,C6,100,1.0137465000152588,1.0137465000152588,0,16.402467728,16.402467728,1
W4,C5,0,53.919903917312624,66.62968873977661,12.70978482246399,14.619189262,13.433451653,1
W4,C5,500,0.4273412227630615,0.4273412227630615,0,17.196472168,17.196472168,1
W4,C5,100,0.0,0.0,0,18.09006691,18.09006691,1
W4,D3,0,25.874120445251464,35.84441161155701,9.970291166305541,14.743078232,13.675984383,1
W4,D3,500,0.29129672050476074,0.29129672050476074,0,17.22351265,17.22351265,1
W4,D3,100,0.0,0.0,0,19.999570847,19.999570847,1
W4,D4,0,164.88682564735413,220.13578867912292,55.248963031768795,13.869995117,11.79445076,1
W4,D5,0,136.23132381439208,187.81385326385498,51.58252944946289,13.553023338,11.453997612,1
W4,D5,500,76.57259086608886,99.1530339717865,22.580443105697633,14.726295471,13.210133553,1
W4,D5,100,23.080710048675538,30.56595778465271,7.485247735977173,14.928833008,13.953782082,1
W4,D6,0,133.91701957702637,176.89363265037537,42.976613073349,13.056056976,11.118051529,1
W4,D6,500,117.23230104446411,159.40739011764526,42.175089073181155,14.23314476,12.290439606,1
W4,D6,100,67.2204447555542,90.20987486839294,22.989430112838747,14.271537781,12.739051819,1
W4,D7,0,95.91689695358276,145.8245575428009,49.90766058921814,12.855294228,10.930968285,1
W4,D7,500,143.41210228919982,192.91689682006836,49.50479453086853,13.943333626,11.944308281,1
W4,D7,100,186.461669216156,187.45684051513672,0.9951712989807129,11.95980072,12.240967751,1
W4,D12,0,0.0,0.0,0,19.999570847,19.999570847,1
W4,D12,500,0.0,0.0,0,19.999389648,19.999389648,1
W4,D12,100,0.0,0.0,0,19.99943924,19.99943924,1
W4,D13,0,0.0,0.0,0,19.999614716,19.999614716,1
W4,E13,0,6.15719808101654,10.39370059967041,4.23650251865387,15.004700661,14.985531807,1
W4,E13,500,0.0,0.0,0,19.999389648,19.999389648,1
W4,E12,0,0.0,0.0,0,19.999610901,19.999610901,1
W4,E11,0,18.837938051223755,23.644052505493164,4.806114454269409,14.756818771,14.280257225,1
W4,E11,500,18.83208381175995,21.859236478805542,3.027152667045593,15.920679092,15.6398983,1
W4,E11,100,82.14699748516082,96.57389068603516,14.426893200874328,14.72563076,13.852866173,1
W4,E10,0,179.97831199169158,234.8071644306183,54.828852438926695,13.470323563,11.51206398,1
W4,E10,500,233.10095952510835,289.9733610153198,56.87240149021149,14.213399887,12.39423275,1
W4,E10,100,193.78300507068633,253.76616787910461,59.98316280841827,13.7247715,11.786577225,1
W4,E9,0,31.59203115463257,33.50205683708191,1.910025682449341,10.564538002,10.756367683,1
W4,E10,500,129.77606236457825,203.4380578994751,73.66199553489685,13.686775208,11.376410484,1
W4,E9,100,78.7376033782959,126.35485529899597,47.61725192070007,13.256728172,11.371076584,1
W4,E6,0,153.88874775886535,229.12586331367493,75.23711555480958,11.605319977,10.300459862,1
W4,E6,500,126.3390034198761,209.35758638381958,83.01858296394349,13.008768082,11.305488586,1
W4,E6,100,127.46285022735596,129.3541157245636,1.8912654972076417,9.1060609818,9.1173019409,1
W4,E5,0,99.20150505542756,157.295241355896,58.09373630046844,12.292011261,10.757324219,1
W4,E5,500,91.4280401802063,134.70273661613464,43.27469643592835,13.658828735,11.747292519,1
W4,E5,100,75.88319552898407,105.97596096992493,30.092765440940855,13.704594612,11.937712669,1
W4,E4,0,44.67343907833099,55.65799880027771,10.984559721946717,15.014690399,14.984195709,1
W4,E4,500,125.18560386180877,166.70160293579102,41.515999073982236,13.843373299,11.951881409,1
W4,E4,100,84.33265997886657,108.73030591011047,24.397645931243897,13.912510872,12.519676208,1
W4,J12,0,0.2967500686645508,0.2967500686645508,0,16.146558762,16.146558762,1
W4,J12,500,7.18887191772461,9.52100157737732,2.33212965965271,15.76239872,15.614430428,1
W4,J12,100,40.42856959819794,50.44395875930786,10.015389161109924,14.593417168,13.687380791,1
W4,J11,500,57.52304408073425,80.1509861946106,22.627942113876344,13.974713326,12.411672592,1
W4,J11,0,22.875949807167054,35.45253229141235,12.5765824842453,13.679198265,12.502019882,1
W4,J11,100,45.06584406852723,67.97591590881348,22.910071840286253,13.289974213,11.880390167,1
W4,J10,0,75.91082197666168,102.12817931175232,26.217357335090636,12.546235085,11.341696739,1
W4,J10,500,141.35011694431304,189.96403670310974,48.61391975879669,12.519723892,11.193084717,1
W4,J10,100,361.3479251384735,462.0300929546356,100.6821678161621,11.708605766,10.372290611,1
W4,J9,0,716.1211747074127,909.8745183944702,193.7533436870575,11.147637367,9.7677192688,1
W4,M5,SA,186.47484510421754,268.7833135128021,82.30846840858459,14.473661423,11.802289009,1
W4,M8,SA,276.19763051986695,428.97825360298157,152.78062308311462,13.64763546,10.948916435,1
W4,M8,SB,190.50784221172333,292.09348797798157,101.58564576625824,13.767677307,11.235147476,1
W4,M4,SA,44.21503990650177,56.15365719795227,11.9386172914505,15.025660515,14.026409149,1
W4,M4,SB,76.4740906572342,96.12330389022827,19.64921323299408,14.646636009,13.403734207,1
W4,M3,SB,0.14796876907348633,0.14796876907348633,0,17.598394394,17.598394394,1
W4,M3,SA,2.6226043701171875e-06,2.6226043701171875e-06,0,19.999612808,19.999612808,1
W4,L3,SA,2.6404998207092287,4.554606676101685,1.914106855392456,16.029203415,15.733938217,1
W4,L3,SB,30.294759016036988,39.10427498817444,8.80951597213745,15.258773804,14.310657501,1
W4,K3,SA,59.72463566303253,75.60409474372864,15.879459080696106,14.86109066,13.581856728,1
W4,K3,SB,94.48755239963532,127.72629952430725,33.23874712467194,14.436799049,12.699285507,1
W4,J3,SA,84.78251800537109,113.78689217567444,29.004374170303343,14.438794136,12.782394409,1
W4,J3,SB,107.9289316368103,153.31580138206482,45.386869745254515,14.061092377,12.073779106,1
W4,D3,SA,1.430511474609375e-06,1.430511474609375e-06,0,19.999557495,19.999557495,1
W4,D4,SA,35.919553718566895,46.7512092590332,10.831655540466308,14.910525322,13.934004784,1
W4,D4,SB,78.5928019952774,99.80981159210205,21.217009596824646,14.613353729,13.217018127,1
W4,C4,SB,2.1457672119140625e-06,2.1457672119140625e-06,0,19.999599457,19.999599457,1
W4,C5,SA,0.21594715118408203,0.21594715118408203,0,16.866756439,16.866756439,1
W4,C5,SB,1.7867753601074219,3.7190308570861816,1.9322554969787598,15.976279259,15.794202805,1
W4,C6,SA,36.550783004760746,45.51422691345215,8.963443908691406,15.224101067,14.346372604,1
W4,C6,SB,51.804945244789124,63.174789905548096,11.369844660758972,14.998333931,14.072132111,1
W4,B6,SA,1.9073486328125e-06,1.9073486328125e-06,0,19.999622345,19.999622345,1
W4,B6,SB,1.6689300537109375e-06,1.6689300537109375e-06,0,19.999622345,19.999622345,1
W4,B7,SA,2.1457672119140625e-06,2.1457672119140625e-06,0,19.999588013,19.999588013,1
W4,B8,SA,0.07197332382202148,0.07197332382202148,0,18.256856918,18.256856918,1
W4,B8,SB,1.9073486328125e-06,1.9073486328125e-06,0,19.999578476,19.999578476,1
W4,C8,SA,118.03328295707703,146.1480712890625,28.114788331985473,14.479902267,13.091441154,1
W4,B9,SA,0.07508158683776855,0.07508158683776855,0,18.69162941,18.69162941,1
W4,C9,SA,128.87633477211,164.21957516670227,35.343240394592286,15.115069389,13.527644157,1
W4,C9,SB,93.95240439414978,111.15489435195923,17.202489957809448,15.198925972,14.127920151,1
W4,C10,SA,26.83468509197235,31.353986024856567,4.519300932884216,15.877967834,15.495695114,1
W4,C10,SB,2.203956179618835,4.175175189971924,1.9712190103530884,16.693462372,16.855651855,1
W4,D10,SA,232.38901443481444,297.7215473651886,65.33253293037414,14.27134037,12.252327919,1
W4,D10,SB,149.640006275177,183.20074343681335,33.560737161636354,14.555539131,13.095722198,1
W4,E10,SA,253.57049038410187,371.9573748111725,118.38688442707061,13.468050003,10.884697914,1
W4,G12,SA,189.83238321781158,232.92443561553955,43.09205239772797,14.231163979,12.713852882,1
W4,G12,SB,87.84601366043091,102.77519679069519,14.929183130264283,14.794156075,13.874509811,1
W4,G13,SA,0.07638406753540039,0.07638406753540039,0,17.794389725,17.794389725,1
W4,H12,SA,227.41400040149688,289.83019757270813,62.416197171211245,13.953448296,12.100821495,1
W4,H12,SB,123.70421855926514,148.36443185806274,24.660213298797608,14.398338318,13.219864845,1
W4,I12,SA,98.96471344947815,133.0347809791565,34.07006752967835,14.131905556,12.472425461,1
W4,I12,SB,95.9625408744812,115.53940153121948,19.57686065673828,14.465859413,13.331889153,1
W4,J12,SA,85.798307762146,109.44565391540527,23.647346153259278,14.297911644,12.955713272,1
W4,J12,SB,59.60439980983734,69.19750142097473,9.59310161113739,14.838793755,14.028713226,1
W4,K12,SB,13.324171929359435,16.086540699005127,2.762368769645691,15.5069561,15.326042175,1
W4,K12,SA,88.1585192155838,101.89035224914551,13.731833033561706,14.673256874,13.833330154,1
W4,K11,sa,69.06766370773315,102.3753433227539,33.30767961502075,13.766430855,11.98991394,1
W4,K10,SA,303.6920040464401,396.51523661613464,92.82323256969453,12.391249657,10.990113258,1
W4,K12,SB,114.02953824043274,165.31149578094482,51.28195754051208,12.847575188,11.378199577,1
